google.com	1	D	1
youtube.com	2	C	1
facebook.com	3	B	1
baidu.com	4	F	0
wikipedia.org	5	E	1
yahoo.com	6	E	1
google.co.in	7	E	1
taobao.com	10	E	1
amazon.com	11	E	1
twitter.com	12	B	1
google.co.jp	13	E	1
live.com	15	C	1
vk.com	16	E	1
sina.com.cn	19	F	0
weibo.com	21	F	0
google.de	23	E	1
linkedin.com	25	D	1
google.com.br	26	E	1
google.fr	28	E	1
google.com.hk	31	E	1
netflix.com	32	C	1
yahoo.co.jp	33	D	1
google.it	34	E	1
t.co	35	E	0
ebay.com	36	E	1
google.es	37	E	1
imgur.com	38	E	0
msn.com	40	C	0
bing.com	41	F	0
onclkds.com	42	F	0
twitch.tv	43	F	1
gmw.cn	45	F	0
tumblr.com	47	A	1
alipay.com	48	C	1
livejasmin.com	49	F	1
mail.ru	50	B	1
microsoft.com	51	E	1
xvideos.com	52	E	0
ok.ru	53	B	1
wordpress.com	55	E	1
stackoverflow.com	56	E	1
github.com	58	A	1
imdb.com	59	D	0
amazon.co.jp	61	E	1
pinterest.com	62	B	1
csdn.net	63	F	0
apple.com	64	D	1
google.com.tr	65	E	1
office.com	66	D	1
wikia.com	67	F	0
youth.cn	68	E	0
popads.net	69	E	1
microsoftonline.com	70	D	1
paypal.com	71	B	1
whatsapp.com	72	C	1
google.com.tw	73	E	1
google.com.au	74	E	1
bongacams.com	75	F	1
google.pl	76	E	1
xhamster.com	77	F	1
diply.com	79	F	0
google.co.id	80	E	1
adobe.com	81	D	0
coccoc.com	82	F	0
dropbox.com	83	B	1
txxx.com	85	F	0
google.com.ar	86	E	1
amazon.de	88	E	1
amazon.in	89	E	0
google.com.pk	90	E	1
google.co.th	91	E	1
nicovideo.jp	92	F	0
thepiratebay.org	93	F	1
booking.com	94	D	1
bbc.co.uk	95	F	0
pixnet.net	96	F	1
porn555.com	97	F	0
tianya.cn	98	F	0
china.com	99	F	0
google.com.eg	100	E	1
soso.com	101	F	1
google.com.sa	102	E	1
bbc.com	103	F	0
savefrom.net	104	F	0
cnn.com	105	B	0
amazon.co.uk	106	E	1
fc2.com	107	F	1
mozilla.org	108	B	1
uptodown.com	109	F	0
rakuten.co.jp	110	D	0
soundcloud.com	111	F	1
clicksgear.com	112	F	0
quora.com	113	B	1
so.com	114	F	1
google.com.ua	115	E	1
amazonaws.com	116	E	1
ask.com	117	F	0
google.nl	118	E	1
nytimes.com	121	E	1
ettoday.net	122	F	0
salesforce.com	123	F	1
dailymotion.com	124	E	0
onlinesbi.com	125	F	1
adf.ly	126	E	0
espn.com	127	F	0
google.co.ve	129	E	1
steamcommunity.com	130	E	0
fbcdn.net	131	B	1
stackexchange.com	132	F	1
blogger.com	133	B	1
chase.com	134	E	1
vice.com	137	F	1
blastingnews.com	138	F	0
vimeo.com	139	C	1
tribunnews.com	140	F	0
chaturbate.com	142	D	1
detik.com	143	D	0
ebay.co.uk	144	E	1
google.gr	145	E	1
google.co.kr	146	E	1
google.com.vn	147	E	1
buzzfeed.com	148	D	1
dailymail.co.uk	149	F	0
ladbible.com	150	F	0
globo.com	151	E	0
spotify.com	153	D	1
google.com.sg	154	E	1
cnet.com	155	D	1
xinhuanet.com	156	F	0
avito.ru	157	D	1
openload.co	158	F	1
mediafire.com	159	F	1
google.com.ph	162	E	1
google.be	163	E	1
google.se	164	E	1
popcash.net	165	E	0
deviantart.com	167	F	0
google.cn	168	C	0
github.io	169	F	1
force.com	170	F	1
uol.com.br	171	F	0
google.az	172	E	1
upornia.com	173	F	0
roblox.com	174	F	1
slideshare.net	175	D	1
douyu.com	176	F	1
walmart.com	177	E	1
wikihow.com	178	D	0
daikynguyenvn.com	179	D	0
washingtonpost.com	181	E	1
yelp.com	182	C	1
w3schools.com	183	F	1
rambler.ru	184	F	1
china.com.cn	185	F	0
godaddy.com	186	F	1
pinimg.com	187	B	1
nih.gov	188	D	1
babytree.com	189	E	1
etsy.com	192	C	1
sogou.com	193	F	1
slack.com	195	C	1
google.com.ng	197	E	1
9gag.com	198	F	1
redtube.com	199	F	1
iwanttodeliver.com	200	F	0
google.com.pe	201	E	1
bankofamerica.com	202	F	1
mercadolivre.com.br	203	F	0
google.ro	204	E	1
4chan.org	205	E	0
redd.it	206	C	1
google.cz	207	E	1
performanceadexchange.com	208	F	0
google.ch	209	E	1
metropcs.mobi	210	F	0
gfycat.com	211	F	1
google.cl	212	E	1
trello.com	215	C	1
tripadvisor.com	216	F	1
wellsfargo.com	217	E	1
amazon.fr	218	E	1
bet365.com	219	F	1
messenger.com	220	B	1
thewhizmarketing.com	222	E	0
1688.com	224	F	1
trackmedia101.com	225	F	0
google.co.ao	226	E	1
zillow.com	227	F	1
battle.net	228	E	0
google.no	229	E	1
gomovies.to	231	F	1
people.com.cn	232	F	0
tokopedia.com	233	D	1
kinogo.club	234	F	0
kissanime.ru	235	E	0
forbes.com	236	D	1
youporn.com	237	F	1
myway.com	238	F	0
abs-cbn.com	239	E	0
mama.cn	240	F	1
gamepedia.com	241	E	0
google.ae	242	E	1
youm7.com	243	F	0
yts.ag	244	D	1
cpm10.com	245	F	0
thestartmagazine.com	246	D	1
outbrain.com	247	F	0
weather.com	248	E	1
hotmovs.com	249	F	0
ameblo.jp	250	F	0
spotscenered.info	251	F	0
huffingtonpost.com	253	C	0
bilibili.com	254	F	0
39.net	255	F	0
google.dz	257	E	1
ikea.com	258	E	0
livejournal.com	260	F	0
wetransfer.com	261	F	1
rarbg.to	262	F	0
kakaku.com	263	E	0
ign.com	264	E	0
google.ie	265	E	1
irctc.co.in	266	C	1
reimageplus.com	267	F	0
foxnews.com	269	F	0
google.hu	270	E	1
sumatoad.com	271	F	0
blogspot.co.id	272	C	1
doubleclick.net	273	B	1
cnblogs.com	275	F	1
adexchangeprediction.com	276	F	0
aol.com	277	C	1
archive.org	279	F	1
ltn.com.tw	280	F	0
allegro.pl	282	D	1
airbnb.com	283	B	1
torrentz2.eu	284	D	1
huanqiu.com	285	F	0
google.dk	286	E	1
bestbuy.com	287	E	0
leboncoin.fr	288	E	1
files.wordpress.com	289	E	1
pipeschannels.com	290	D	1
shutterstock.com	291	F	1
freepik.com	292	F	0
feedly.com	293	E	1
huaban.com	294	F	0
wikimedia.org	295	E	1
skype.com	296	D	1
amazon.cn	297	E	1
liputan6.com	298	F	0
google.fi	299	E	1
businessinsider.com	301	F	0
breitbart.com	302	F	0
kompas.com	303	F	0
ebay-kleinanzeigen.de	304	F	0
wordreference.com	305	F	0
caijing.com.cn	306	F	0
giphy.com	307	F	1
spankbang.com	308	E	1
amazon.es	309	E	1
onlinevideoconverter.com	311	F	1
chinadaily.com.cn	312	F	0
sberbank.ru	314	F	0
codeonclick.com	315	F	0
blogspot.com.br	316	D	0
rutracker.org	317	E	0
zippyshare.com	318	F	0
flickr.com	319	C	1
tfetimes.com	321	F	1
genius.com	322	F	1
sourceforge.net	323	C	1
mmofreegames.online	324	F	0
mediawhirl.net	325	F	1
sabah.com.tr	326	F	0
mailchimp.com	327	F	1
researchgate.net	329	C	1
scribd.com	330	F	1
gismeteo.ru	331	D	1
telegram.org	332	E	1
xfinity.com	333	F	1
videodownloadconverter.com	335	F	0
cricbuzz.com	336	E	0
2ch.net	337	F	0
gamefaqs.com	338	F	1
askcom.me	339	D	0
web.de	341	C	1
gmx.net	342	C	1
streamable.com	343	E	1
asos.com	346	E	0
telegraph.co.uk	347	E	0
google.sk	348	E	1
thesaurus.com	349	F	0
eastday.com	350	F	0
medium.com	351	B	1
1337x.to	352	F	0
taringa.net	353	F	1
shopify.com	354	D	1
leagueoflegends.com	356	E	0
ouo.io	357	C	0
orange.fr	358	E	0
media.tumblr.com	359	F	0
daum.net	360	F	0
rumble.com	363	E	1
wordpress.org	364	E	1
ndtv.com	365	F	0
office365.com	368	F	1
naver.jp	369	F	1
gearbest.com	370	F	0
icloud.com	371	D	1
samsung.com	372	E	0
livedoor.com	373	F	0
bukalapak.com	374	C	1
fmovies.is	375	F	1
userapi.com	376	E	1
olx.ua	377	F	1
capitalone.com	380	F	0
weebly.com	382	F	1
taboola.com	384	E	1
hp.com	385	F	0
wittyfeed.com	386	F	1
usps.com	387	F	1
atlassian.net	388	D	1
hulu.com	392	D	1
weevah2.top	393	F	0
beeg.com	394	F	0
repubblica.it	395	F	0
target.com	396	E	1
nownews.com	397	C	1
kaskus.co.id	398	B	1
independent.co.uk	399	D	0
ci123.com	403	F	0
appspot.com	404	B	1
onet.pl	405	F	1
subscene.com	406	F	1
evernote.com	407	D	1
youdao.com	408	F	0
providr.com	409	F	0
canva.com	410	C	1
iqoption.com	411	D	1
ibm.com	412	D	1
hdfcbank.com	413	E	0
livedoor.jp	414	F	0
elpais.com	416	F	1
rednet.cn	417	F	0
hatenablog.com	418	C	0
rottentomatoes.com	419	F	1
bet9ja.com	420	F	1
spiegel.de	422	F	0
boredpanda.com	423	F	0
sciencedirect.com	424	D	0
udemy.com	425	C	1
go.com	427	D	0
ensonhaber.com	428	F	0
fiverr.com	430	D	1
reverso.net	431	E	0
naij.com	432	F	1
mercadolibre.com.ar	433	F	0
wp.pl	434	E	1
mlb.com	435	E	1
shink.in	436	F	1
gyazo.com	437	C	1
doublepimpssl.com	438	F	0
google.com.kw	439	E	1
